해수욕장일일일자,연도,월,일,요일,예상 방문자수,예상 혼잡도,해수욕장이름,시/도,시/군/구,위도,경도
2025-07-28,2025,7,28,0,324,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-29,2025,7,29,1,746,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-30,2025,7,30,2,712,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-07-31,2025,7,31,3,1046,보통,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-01,2025,8,1,4,728,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-02,2025,8,2,5,1394,보통,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-03,2025,8,3,6,1328,보통,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-04,2025,8,4,0,756,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-05,2025,8,5,1,730,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-06,2025,8,6,2,717,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-07,2025,8,7,3,651,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-08,2025,8,8,4,508,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-09,2025,8,9,5,781,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-10,2025,8,10,6,682,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-11,2025,8,11,0,536,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-12,2025,8,12,1,377,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-13,2025,8,13,2,380,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-14,2025,8,14,3,387,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-15,2025,8,15,4,703,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-16,2025,8,16,5,1205,보통,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-17,2025,8,17,6,1130,보통,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-18,2025,8,18,0,43,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-19,2025,8,19,1,5,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-20,2025,8,20,2,5,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-21,2025,8,21,3,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-22,2025,8,22,4,19,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-23,2025,8,23,5,30,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-24,2025,8,24,6,76,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-25,2025,8,25,0,2,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-26,2025,8,26,1,5,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-27,2025,8,27,2,5,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-28,2025,8,28,3,0,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-29,2025,8,29,4,21,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-30,2025,8,30,5,35,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-08-31,2025,8,31,6,79,여유,가계해수욕장,전라남도,진도군,34.436219,126.355489
2025-06-01,2025,6,1,6,0,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-02,2025,6,2,0,1,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
2025-06-03,2025,6,3,1,1,여유,가마미해수욕장,전라남도,영광군,35.39936,126.408865
